[Yb]c1nc2sccc2n1[Lu]
CC(C)(Br)CC(C)(O)[Yb]
O=C([Yb])NC=CO[Lu]
[Yb]C1CNC=N1
COC(=O)CCN(C)S(=O)(=O)[Yb]
O=S(=O)([Yb])NN=C1CSC1[Lu]
CC(C)(C)OCCN[Yb]
[Yb]c1cn([Lu])c2c1CN([Ta])CC2
OCCSCCO[Yb]
CNC(=O)N(C)C(C)[Yb]
CC(COC[Yb])OC(=O)NC[Lu]
O=CNCC([Yb])N[Lu]
CN(C)C(=O)NC([Yb])C=O
CC(NC[Lu])C(=O)NCC[Yb]
[Yb]C1c2ccccc2OC1([Lu])[Ta]
CC=C(CCC=C(C)C)C(=O)[Yb]
O=S(=O)([Lu])CC(F)=C[Yb]
CC(C)NCCC([Yb])([Lu])C(=O)O
CC([Yb])=CC(C)(C)C
O=C1C2OCC([Yb])C2CN1[Lu]
[Yb][N+]1([Lu])CCN1[Ta]
C=C1C([Yb])=CC(=O)C([Lu])=C1[Ta]
CC(=O)C=C1SC([Yb])=NC1=O
[Yb]C1([Lu])CCOC([Ta])C1
[Yb]c1nc2cc([Lu])nc([Ta])n2n1
CN(C)CCCN([Lu])C[Yb]
O=S1(=O)CCOC([Lu])([Ta])CN1[Yb]
[Yb]N1CN([Lu])C2CCC1C2
O=C1C([Yb])=C([Lu])N2C=CC=CC12
CON(C)C(=O)COC(=O)[Yb]
[Yb]c1nc2ncc([Lu])c([Ta])c2s1
CN(C[Yb])CC=CCN
NC(=O)NNC(=O)CO[Yb]
[Yb]C1CC2OCCN([Lu])C2C1
O=C1N([Yb])CCC12CCOCC2
CN(C)CCNC[Yb]
O=C(O)CC=C([Yb])[Lu]
[Yb]N=C1CCC([Lu])C1
[Yb]C1C([Lu])=CC=CN1[Ta]
O=C(O)C(O[Yb])C(=O)O
OC([Lu])CC(O)CNC[Yb]
[Yb]c1ccc2c(n1)CCCN=C2
[Yb]c1ccc([Lu])c2sccc12
CCOC(C)CC[Yb]
O=c1c([Lu])ncnn1[Yb]
[Yb]N1CC2CCOCC2C1
[Yb]C1CCCc2cncn21
[Yb]N1Cc2ccccc2C([Lu])=N1
NC(=O)C(O)C(CC[Yb])NC[Lu]
